date,code,open,high,low,close,volume,amount,adjustflag
2021-09-24,sh.000001,3637.8677,3651.4294,3607.7919,3613.0673,50730477200,606788609082.6000,3
2021-09-27,sh.000001,3625.9597,3640.8077,3559.9154,3582.8307,51080279500,640673648233.4000,3
2021-09-28,sh.000001,3577.8859,3610.9170,3568.8189,3602.2184,44416880700,500081996059.9000,3
2021-09-29,sh.000001,3573.5178,3573.5178,3518.0477,3536.2944,45251115100,511106926314.6000,3
2021-09-30,sh.000001,3541.9283,3572.4259,3541.9283,3568.1668,39562962600,445734703143.3000,3
