date,code,open,high,low,close,volume,amount,adjustflag
2021-09-24,sz.399006,3176.8684,3250.1389,3169.5042,3207.8166,13148217918,237333242636.8500,3
2021-09-27,sz.399006,3228.0684,3280.3011,3211.6130,3231.5824,13956685068,260071559418.6700,3
2021-09-28,sz.399006,3219.3811,3272.9396,3202.6193,3211.4540,9893354389,187314398838.2600,3
2021-09-29,sz.399006,3181.9784,3209.6924,3165.4870,3175.1521,10674070345,192933487234.9700,3
2021-09-30,sz.399006,3188.3915,3257.6683,3180.9140,3244.6455,9269979002,179526633995.5700,3
