date,code,open,high,low,close,volume,amount,adjustflag
2021-09-24,sh.000300,4845.6380,4897.0596,4838.5352,4849.4277,20769329000,361849453197.3000,3
2021-09-27,sh.000300,4870.8482,4922.5626,4852.1997,4877.3698,21596703000,426083025417.5000,3
2021-09-28,sh.000300,4869.0845,4901.3114,4846.6306,4883.8280,17689088000,321272191534.0000,3
2021-09-29,sh.000300,4846.0212,4868.0678,4799.8770,4833.9281,18817136600,331841767748.9000,3
2021-09-30,sh.000300,4843.9531,4876.0728,4843.9531,4866.3826,14611389600,283254685232.2000,3
